entry_id,date,account_code,account_name,debit,credit,description,invoice_uuid,cost_center,approver
15,2025-02-28,2100,Cuentas por pagar,71565.96,0.0,Liquidacion SPEI BNK-00004 factura INV-00004,INV-00004,CC-100 Operaciones,Arturo Perez Alvarez
16,2025-02-28,1100,Bancos e inversiones,0.0,71565.96,Liquidacion SPEI BNK-00004 factura INV-00004,INV-00004,CC-100 Operaciones,Arturo Perez Alvarez
17,2025-01-28,5000,Gastos operativos,69903.19,0.0,Provision factura INV-00005 Asesores Globales SC,INV-00005,CC-300 Logistica,Arturo Jimenez Gonzalez
18,2025-01-28,2100,Cuentas por pagar,0.0,69903.19,Provision factura INV-00005 Asesores Globales SC,INV-00005,CC-300 Logistica,Arturo Jimenez Gonzalez
19,2025-02-04,2100,Cuentas por pagar,69903.19,0.0,Liquidacion SPEI BNK-00005 factura INV-00005,INV-00005,CC-100 Operaciones,Arturo Perez Torres
20,2025-02-04,1100,Bancos e inversiones,0.0,69903.19,Liquidacion SPEI BNK-00005 factura INV-00005,INV-00005,CC-100 Operaciones,Arturo Perez Torres
21,2025-06-24,5000,Gastos operativos,109025.89,0.0,Provision factura INV-00006 Soluciones Integrales SA de CV,INV-00006,CC-200 Administracion,Adriana Lopez Aguilar
22,2025-06-24,2100,Cuentas por pagar,0.0,109025.89,Provision factura INV-00006 Soluciones Integrales SA de CV,INV-00006,CC-200 Administracion,Adriana Lopez Aguilar
23,2025-07-13,2100,Cuentas por pagar,109025.89,0.0,Liquidacion SPEI BNK-00006 factura INV-00006,INV-00006,CC-100 Operaciones,Arturo Jimenez Gonzalez
24,2025-07-13,1100,Bancos e inversiones,0.0,109025.89,Liquidacion SPEI BNK-00006 factura INV-00006,INV-00006,CC-100 Operaciones,Arturo Jimenez Gonzalez
25,2025-12-18,5000,Gastos operativos,127841.85,0.0,Provision factura INV-00007 Mantenimiento del Norte SC,INV-00007,CC-300 Logistica,Arturo Perez Torres
26,2025-12-18,2100,Cuentas por pagar,0.0,127841.85,Provision factura INV-00007 Mantenimiento del Norte SC,INV-00007,CC-300 Logistica,Arturo Perez Torres
27,2026-01-01,2100,Cuentas por pagar,127841.85,0.0,Liquidacion SPEI BNK-00007 factura INV-00007,INV-00007,CC-100 Operaciones,Adriana Lopez Aguilar
28,2026-01-01,1100,Bancos e inversiones,0.0,127841.85,Liquidacion SPEI BNK-00007 factura INV-00007,INV-00007,CC-100 Operaciones,Adriana Lopez Aguilar
29,2025-11-07,5000,Gastos operativos,163714.48,0.0,Provision factura INV-00008 Asesores del Golfo SAPI de CV,INV-00008,CC-300 Logistica,Fernando Gutierrez Ortiz
30,2025-11-07,2100,Cuentas por pagar,0.0,163714.48,Provision factura INV-00008 Asesores del Golfo SAPI de CV,INV-00008,CC-300 Logistica,Fernando Gutierrez Ortiz
31,2025-11-28,2100,Cuentas por pagar,163714.48,0.0,Liquidacion SPEI BNK-00008 factura INV-00008,INV-00008,CC-100 Operaciones,Arturo Perez Torres
32,2025-11-28,1100,Bancos e inversiones,0.0,163714.48,Liquidacion SPEI BNK-00008 factura INV-00008,INV-00008,CC-100 Operaciones,Arturo Perez Torres
33,2025-06-06,5000,Gastos operativos,206891.99,0.0,Provision factura INV-00009 Distribuidora del Centro SA de,INV-00009,CC-300 Logistica,Adriana Lopez Aguilar
34,2025-06-06,2100,Cuentas por pagar,0.0,206891.99,Provision factura INV-00009 Distribuidora del Centro SA de,INV-00009,CC-300 Logistica,Adriana Lopez Aguilar
35,2025-05-16,5000,Gastos operativos,137123.58,0.0,Provision factura INV-00010 Servicios Integrales S de RL d,INV-00010,CC-100 Operaciones,Sofia Hernandez Martinez
36,2025-05-16,2100,Cuentas por pagar,0.0,137123.58,Provision factura INV-00010 Servicios Integrales S de RL d,INV-00010,CC-100 Operaciones,Sofia Hernandez Martinez
37,2025-05-28,2100,Cuentas por pagar,137123.58,0.0,Liquidacion SPEI BNK-00009 factura INV-00010,INV-00010,CC-100 Operaciones,Arturo Lopez Hernandez
38,2025-05-28,1100,Bancos e inversiones,0.0,137123.58,Liquidacion SPEI BNK-00009 factura INV-00010,INV-00010,CC-100 Operaciones,Arturo Lopez Hernandez
39,2025-11-01,5000,Gastos operativos,103626.41,0.0,Provision factura INV-00011 Tecnologia Globales SA de CV,INV-00011,CC-100 Operaciones,Arturo Perez Torres
40,2025-11-01,2100,Cuentas por pagar,0.0,103626.41,Provision factura INV-00011 Tecnologia Globales SA de CV,INV-00011,CC-100 Operaciones,Arturo Perez Torres
41,2025-11-30,2100,Cuentas por pagar,103626.41,0.0,Liquidacion SPEI BNK-00010 factura INV-00011,INV-00011,CC-100 Operaciones,Arturo Jimenez Gonzalez
42,2025-11-30,1100,Bancos e inversiones,0.0,103626.41,Liquidacion SPEI BNK-00010 factura INV-00011,INV-00011,CC-100 Operaciones,Arturo Jimenez Gonzalez
43,2025-05-16,5000,Gastos operativos,148965.47,0.0,Provision factura INV-00012 Mantenimiento del Norte SC,INV-00012,CC-200 Administracion,Adriana Lopez Aguilar
44,2025-05-16,2100,Cuentas por pagar,0.0,148965.47,Provision factura INV-00012 Mantenimiento del Norte SC,INV-00012,CC-200 Administracion,Adriana Lopez Aguilar
45,2025-06-12,2100,Cuentas por pagar,148965.47,0.0,Liquidacion SPEI BNK-00011 factura INV-00012,INV-00012,CC-100 Operaciones,Sofia Hernandez Martinez
46,2025-06-12,1100,Bancos e inversiones,0.0,148965.47,Liquidacion SPEI BNK-00011 factura INV-00012,INV-00012,CC-100 Operaciones,Sofia Hernandez Martinez
47,2025-02-06,5000,Gastos operativos,175617.2,0.0,Provision factura INV-00013 Logistica Avanzadas S de RL de,INV-00013,CC-300 Logistica,Arturo Perez Torres
48,2025-02-06,2100,Cuentas por pagar,0.0,175617.2,Provision factura INV-00013 Logistica Avanzadas S de RL de,INV-00013,CC-300 Logistica,Arturo Perez Torres
49,2025-02-27,2100,Cuentas por pagar,175617.2,0.0,Liquidacion SPEI BNK-00012 factura INV-00013,INV-00013,CC-100 Operaciones,Arturo Perez Torres
50,2025-02-27,1100,Bancos e inversiones,0.0,175617.2,Liquidacion SPEI BNK-00012 factura INV-00013,INV-00013,CC-100 Operaciones,Arturo Perez Torres
51,2025-05-20,5000,Gastos operativos,94440.14,0.0,Provision factura INV-00014 Asesores Especializados S de R,INV-00014,CC-200 Administracion,Adriana Lopez Aguilar
52,2025-05-20,2100,Cuentas por pagar,0.0,94440.14,Provision factura INV-00014 Asesores Especializados S de R,INV-00014,CC-200 Administracion,Adriana Lopez Aguilar
53,2025-06-09,2100,Cuentas por pagar,94440.14,0.0,Liquidacion SPEI BNK-00013 factura INV-00014,INV-00014,CC-100 Operaciones,Valeria Mendez Garcia
54,2025-06-09,1100,Bancos e inversiones,0.0,94440.14,Liquidacion SPEI BNK-00013 factura INV-00014,INV-00014,CC-100 Operaciones,Valeria Mendez Garcia
55,2025-02-16,5000,Gastos operativos,65320.41,0.0,Provision factura INV-00015 Servicios del Bajio S de RL de,INV-00015,CC-300 Logistica,Arturo Perez Torres
56,2025-02-16,2100,Cuentas por pagar,0.0,65320.41,Provision factura INV-00015 Servicios del Bajio S de RL de,INV-00015,CC-300 Logistica,Arturo Perez Torres
57,2025-02-28,2100,Cuentas por pagar,65320.41,0.0,Liquidacion SPEI BNK-00014 factura INV-00015,INV-00015,CC-100 Operaciones,Arturo Jimenez Gonzalez
58,2025-02-28,1100,Bancos e inversiones,0.0,65320.41,Liquidacion SPEI BNK-00014 factura INV-00015,INV-00015,CC-100 Operaciones,Arturo Jimenez Gonzalez
59,2025-05-23,5000,Gastos operativos,142098.92,0.0,Provision factura INV-00016 Asesores Especializados SA de ,INV-00016,CC-300 Logistica,Arturo Jimenez Gonzalez
60,2025-05-23,2100,Cuentas por pagar,0.0,142098.92,Provision factura INV-00016 Asesores Especializados SA de ,INV-00016,CC-300 Logistica,Arturo Jimenez Gonzalez
61,2025-06-20,5000,Gastos operativos,83999.74,0.0,Provision factura INV-00017 Soluciones Integrales SA de CV,INV-00017,CC-200 Administracion,Fernando Gutierrez Ortiz
62,2025-06-20,2100,Cuentas por pagar,0.0,83999.74,Provision factura INV-00017 Soluciones Integrales SA de CV,INV-00017,CC-200 Administracion,Fernando Gutierrez Ortiz
63,2025-07-06,2100,Cuentas por pagar,83999.74,0.0,Liquidacion SPEI BNK-00015 factura INV-00017,INV-00017,CC-100 Operaciones,Fernando Gutierrez Ortiz
64,2025-07-06,1100,Bancos e inversiones,0.0,83999.74,Liquidacion SPEI BNK-00015 factura INV-00017,INV-00017,CC-100 Operaciones,Fernando Gutierrez Ortiz
65,2025-08-21,5000,Gastos operativos,122688.49,0.0,Provision factura INV-00018 Consultores Globales SA de CV,INV-00018,CC-200 Administracion,Adriana Lopez Aguilar
66,2025-08-21,2100,Cuentas por pagar,0.0,122688.49,Provision factura INV-00018 Consultores Globales SA de CV,INV-00018,CC-200 Administracion,Adriana Lopez Aguilar
67,2026-02-27,5000,Gastos operativos,182943.89,0.0,Provision factura INV-00019 Mantenimiento Especializados S,INV-00019,CC-200 Administracion,Arturo Lopez Hernandez
68,2026-02-27,2100,Cuentas por pagar,0.0,182943.89,Provision factura INV-00019 Mantenimiento Especializados S,INV-00019,CC-200 Administracion,Arturo Lopez Hernandez
69,2026-03-17,2100,Cuentas por pagar,182943.89,0.0,Liquidacion SPEI BNK-00016 factura INV-00019,INV-00019,CC-100 Operaciones,Arturo Jimenez Gonzalez
70,2026-03-17,1100,Bancos e inversiones,0.0,182943.89,Liquidacion SPEI BNK-00016 factura INV-00019,INV-00019,CC-100 Operaciones,Arturo Jimenez Gonzalez
71,2025-01-27,5000,Gastos operativos,102006.64,0.0,Provision factura INV-00020 Constructora Integrales SC,INV-00020,CC-200 Administracion,Arturo Jimenez Gonzalez
72,2025-01-27,2100,Cuentas por pagar,0.0,102006.64,Provision factura INV-00020 Constructora Integrales SC,INV-00020,CC-200 Administracion,Arturo Jimenez Gonzalez
73,2025-11-19,5000,Gastos operativos,40640.95,0.0,Provision factura INV-00021 Soluciones Integrales SA de CV,INV-00021,CC-200 Administracion,Arturo Perez Alvarez
74,2025-11-19,2100,Cuentas por pagar,0.0,40640.95,Provision factura INV-00021 Soluciones Integrales SA de CV,INV-00021,CC-200 Administracion,Arturo Perez Alvarez
75,2025-12-09,2100,Cuentas por pagar,40640.95,0.0,Liquidacion SPEI BNK-00017 factura INV-00021,INV-00021,CC-100 Operaciones,Adriana Lopez Aguilar
76,2025-12-09,1100,Bancos e inversiones,0.0,40640.95,Liquidacion SPEI BNK-00017 factura INV-00021,INV-00021,CC-100 Operaciones,Adriana Lopez Aguilar
77,2025-02-28,5000,Gastos operativos,207318.02,0.0,Provision factura INV-00022 Logistica Estrategicos S de RL,INV-00022,CC-200 Administracion,Arturo Perez Torres
78,2025-02-28,2100,Cuentas por pagar,0.0,207318.02,Provision factura INV-00022 Logistica Estrategicos S de RL,INV-00022,CC-200 Administracion,Arturo Perez Torres
79,2025-03-15,2100,Cuentas por pagar,207318.02,0.0,Liquidacion SPEI BNK-00018 factura INV-00022,INV-00022,CC-100 Operaciones,Fernando Gutierrez Ortiz
80,2025-03-15,1100,Bancos e inversiones,0.0,207318.02,Liquidacion SPEI BNK-00018 factura INV-00022,INV-00022,CC-100 Operaciones,Fernando Gutierrez Ortiz
81,2025-05-05,5000,Gastos operativos,205018.82,0.0,Provision factura INV-00023 Soluciones Integrales SA de CV,INV-00023,CC-200 Administracion,Javier Ramirez Gonzalez
82,2025-05-05,2100,Cuentas por pagar,0.0,205018.82,Provision factura INV-00023 Soluciones Integrales SA de CV,INV-00023,CC-200 Administracion,Javier Ramirez Gonzalez
83,2025-03-11,5000,Gastos operativos,160240.39,0.0,Provision factura INV-00024 Asesores Especializados SA de ,INV-00024,CC-200 Administracion,Valeria Mendez Garcia
84,2025-03-11,2100,Cuentas por pagar,0.0,160240.39,Provision factura INV-00024 Asesores Especializados SA de ,INV-00024,CC-200 Administracion,Valeria Mendez Garcia
85,2025-01-02,5000,Gastos operativos,68536.85,0.0,Provision factura INV-00025 Asesores Especializados SA de ,INV-00025,CC-100 Operaciones,Arturo Jimenez Gonzalez
86,2025-01-02,2100,Cuentas por pagar,0.0,68536.85,Provision factura INV-00025 Asesores Especializados SA de ,INV-00025,CC-100 Operaciones,Arturo Jimenez Gonzalez
87,2025-01-20,2100,Cuentas por pagar,68536.85,0.0,Liquidacion SPEI BNK-00019 factura INV-00025,INV-00025,CC-100 Operaciones,Valeria Mendez Garcia
88,2025-01-20,1100,Bancos e inversiones,0.0,68536.85,Liquidacion SPEI BNK-00019 factura INV-00025,INV-00025,CC-100 Operaciones,Valeria Mendez Garcia
89,2025-07-13,5000,Gastos operativos,163413.83,0.0,Provision factura INV-00026 Asesores del Golfo SAPI de CV,INV-00026,CC-300 Logistica,Javier Ramirez Gonzalez
90,2025-07-13,2100,Cuentas por pagar,0.0,163413.83,Provision factura INV-00026 Asesores del Golfo SAPI de CV,INV-00026,CC-300 Logistica,Javier Ramirez Gonzalez
91,2025-07-27,2100,Cuentas por pagar,163413.83,0.0,Liquidacion SPEI BNK-00020 factura INV-00026,INV-00026,CC-100 Operaciones,Fernando Gutierrez Ortiz
92,2025-07-27,1100,Bancos e inversiones,0.0,163413.83,Liquidacion SPEI BNK-00020 factura INV-00026,INV-00026,CC-100 Operaciones,Fernando Gutierrez Ortiz
93,2025-08-31,5000,Gastos operativos,78298.94,0.0,Provision factura INV-00027 Comercializadora del Norte SC,INV-00027,CC-300 Logistica,Sofia Hernandez Martinez
94,2025-08-31,2100,Cuentas por pagar,0.0,78298.94,Provision factura INV-00027 Comercializadora del Norte SC,INV-00027,CC-300 Logistica,Sofia Hernandez Martinez
95,2025-09-08,2100,Cuentas por pagar,78298.94,0.0,Liquidacion SPEI BNK-00021 factura INV-00027,INV-00027,CC-100 Operaciones,Sofia Hernandez Martinez
96,2025-09-08,1100,Bancos e inversiones,0.0,78298.94,Liquidacion SPEI BNK-00021 factura INV-00027,INV-00027,CC-100 Operaciones,Sofia Hernandez Martinez
97,2025-06-19,5000,Gastos operativos,202168.67,0.0,Provision factura INV-00028 Asesores Especializados SA de ,INV-00028,CC-100 Operaciones,Arturo Perez Alvarez
98,2025-06-19,2100,Cuentas por pagar,0.0,202168.67,Provision factura INV-00028 Asesores Especializados SA de ,INV-00028,CC-100 Operaciones,Arturo Perez Alvarez
99,2025-07-29,5000,Gastos operativos,155675.75,0.0,Provision factura INV-00029 Constructora del Bajio S de RL,INV-00029,CC-200 Administracion,Arturo Perez Torres
100,2025-07-29,2100,Cuentas por pagar,0.0,155675.75,Provision factura INV-00029 Constructora del Bajio S de RL,INV-00029,CC-200 Administracion,Arturo Perez Torres
101,2025-08-27,2100,Cuentas por pagar,155675.75,0.0,Liquidacion SPEI BNK-00022 factura INV-00029,INV-00029,CC-100 Operaciones,Fernando Gutierrez Ortiz
102,2025-08-27,1100,Bancos e inversiones,0.0,155675.75,Liquidacion SPEI BNK-00022 factura INV-00029,INV-00029,CC-100 Operaciones,Fernando Gutierrez Ortiz
103,2025-06-18,5000,Gastos operativos,32772.35,0.0,Provision factura INV-00030 Constructora Integrales SC,INV-00030,CC-200 Administracion,Arturo Jimenez Gonzalez
104,2025-06-18,2100,Cuentas por pagar,0.0,32772.35,Provision factura INV-00030 Constructora Integrales SC,INV-00030,CC-200 Administracion,Arturo Jimenez Gonzalez
105,2025-05-01,5000,Gastos operativos,135581.74,0.0,Provision factura INV-00031 Comercializadora del Norte SC,INV-00031,CC-300 Logistica,Adriana Lopez Aguilar
106,2025-05-01,2100,Cuentas por pagar,0.0,135581.74,Provision factura INV-00031 Comercializadora del Norte SC,INV-00031,CC-300 Logistica,Adriana Lopez Aguilar
107,2025-05-11,2100,Cuentas por pagar,135581.74,0.0,Liquidacion SPEI BNK-00023 factura INV-00031,INV-00031,CC-100 Operaciones,Adriana Lopez Aguilar
108,2025-05-11,1100,Bancos e inversiones,0.0,135581.74,Liquidacion SPEI BNK-00023 factura INV-00031,INV-00031,CC-100 Operaciones,Adriana Lopez Aguilar
109,2025-06-03,5000,Gastos operativos,49242.22,0.0,Provision factura INV-00032 Comercializadora del Centro SA,INV-00032,CC-100 Operaciones,Arturo Perez Torres
110,2025-06-03,2100,Cuentas por pagar,0.0,49242.22,Provision factura INV-00032 Comercializadora del Centro SA,INV-00032,CC-100 Operaciones,Arturo Perez Torres
111,2025-06-23,2100,Cuentas por pagar,49242.22,0.0,Liquidacion SPEI BNK-00024 factura INV-00032,INV-00032,CC-100 Operaciones,Sofia Hernandez Martinez
112,2025-06-23,1100,Bancos e inversiones,0.0,49242.22,Liquidacion SPEI BNK-00024 factura INV-00032,INV-00032,CC-100 Operaciones,Sofia Hernandez Martinez
113,2025-10-17,5000,Gastos operativos,119065.23,0.0,Provision factura INV-00033 Logistica Estrategicos S de RL,INV-00033,CC-100 Operaciones,Adriana Lopez Aguilar
114,2025-10-17,2100,Cuentas por pagar,0.0,119065.23,Provision factura INV-00033 Logistica Estrategicos S de RL,INV-00033,CC-100 Operaciones,Adriana Lopez Aguilar
115,2025-11-05,2100,Cuentas por pagar,119065.23,0.0,Liquidacion SPEI BNK-00025 factura INV-00033,INV-00033,CC-100 Operaciones,Javier Ramirez Gonzalez
116,2025-11-05,1100,Bancos e inversiones,0.0,119065.23,Liquidacion SPEI BNK-00025 factura INV-00033,INV-00033,CC-100 Operaciones,Javier Ramirez Gonzalez
117,2025-03-15,5000,Gastos operativos,192115.48,0.0,Provision factura INV-00034 Soluciones Integrales SA de CV,INV-00034,CC-200 Administracion,Arturo Perez Torres
118,2025-03-15,2100,Cuentas por pagar,0.0,192115.48,Provision factura INV-00034 Soluciones Integrales SA de CV,INV-00034,CC-200 Administracion,Arturo Perez Torres
119,2025-04-05,2100,Cuentas por pagar,192115.48,0.0,Liquidacion SPEI BNK-00026 factura INV-00034,INV-00034,CC-100 Operaciones,Arturo Perez Torres
120,2025-04-05,1100,Bancos e inversiones,0.0,192115.48,Liquidacion SPEI BNK-00026 factura INV-00034,INV-00034,CC-100 Operaciones,Arturo Perez Torres
121,2025-02-07,5000,Gastos operativos,122018.88,0.0,Provision factura INV-00035 Asesores Industriales SAPI de ,INV-00035,CC-300 Logistica,Fernando Gutierrez Ortiz
122,2025-02-07,2100,Cuentas por pagar,0.0,122018.88,Provision factura INV-00035 Asesores Industriales SAPI de ,INV-00035,CC-300 Logistica,Fernando Gutierrez Ortiz
123,2025-02-28,2100,Cuentas por pagar,122018.88,0.0,Liquidacion SPEI BNK-00027 factura INV-00035,INV-00035,CC-100 Operaciones,Arturo Perez Torres
124,2025-02-28,1100,Bancos e inversiones,0.0,122018.88,Liquidacion SPEI BNK-00027 factura INV-00035,INV-00035,CC-100 Operaciones,Arturo Perez Torres
125,2026-03-13,5000,Gastos operativos,208680.1,0.0,Provision factura INV-00036 Servicios Integrales S de RL d,INV-00036,CC-200 Administracion,Valeria Mendez Garcia
126,2026-03-13,2100,Cuentas por pagar,0.0,208680.1,Provision factura INV-00036 Servicios Integrales S de RL d,INV-00036,CC-200 Administracion,Valeria Mendez Garcia
127,2026-03-01,5000,Gastos operativos,21599.23,0.0,Provision factura INV-00037 Logistica del Centro SAPI de C,INV-00037,CC-100 Operaciones,Arturo Lopez Hernandez
128,2026-03-01,2100,Cuentas por pagar,0.0,21599.23,Provision factura INV-00037 Logistica del Centro SAPI de C,INV-00037,CC-100 Operaciones,Arturo Lopez Hernandez
129,2025-05-27,5000,Gastos operativos,112473.6,0.0,Provision factura INV-00038 Logistica Avanzadas SA de CV,INV-00038,CC-100 Operaciones,Javier Ramirez Gonzalez
130,2025-05-27,2100,Cuentas por pagar,0.0,112473.6,Provision factura INV-00038 Logistica Avanzadas SA de CV,INV-00038,CC-100 Operaciones,Javier Ramirez Gonzalez
131,2025-06-24,2100,Cuentas por pagar,112473.6,0.0,Liquidacion SPEI BNK-00028 factura INV-00038,INV-00038,CC-100 Operaciones,Sofia Hernandez Martinez
132,2025-06-24,1100,Bancos e inversiones,0.0,112473.6,Liquidacion SPEI BNK-00028 factura INV-00038,INV-00038,CC-100 Operaciones,Sofia Hernandez Martinez
133,2025-11-18,5000,Gastos operativos,35997.18,0.0,Provision factura INV-00039 Constructora Integrales SC,INV-00039,CC-200 Administracion,Arturo Lopez Hernandez
134,2025-11-18,2100,Cuentas por pagar,0.0,35997.18,Provision factura INV-00039 Constructora Integrales SC,INV-00039,CC-200 Administracion,Arturo Lopez Hernandez
135,2025-12-18,2100,Cuentas por pagar,35997.18,0.0,Liquidacion SPEI BNK-00029 factura INV-00039,INV-00039,CC-100 Operaciones,Sofia Hernandez Martinez
136,2025-12-18,1100,Bancos e inversiones,0.0,35997.18,Liquidacion SPEI BNK-00029 factura INV-00039,INV-00039,CC-100 Operaciones,Sofia Hernandez Martinez
137,2025-06-17,5000,Gastos operativos,191502.76,0.0,Provision factura INV-00040 Mantenimiento del Norte SC,INV-00040,CC-100 Operaciones,Sofia Hernandez Martinez
138,2025-06-17,2100,Cuentas por pagar,0.0,191502.76,Provision factura INV-00040 Mantenimiento del Norte SC,INV-00040,CC-100 Operaciones,Sofia Hernandez Martinez
139,2025-07-05,2100,Cuentas por pagar,191502.76,0.0,Liquidacion SPEI BNK-00030 factura INV-00040,INV-00040,CC-100 Operaciones,Arturo Perez Alvarez
140,2025-07-05,1100,Bancos e inversiones,0.0,191502.76,Liquidacion SPEI BNK-00030 factura INV-00040,INV-00040,CC-100 Operaciones,Arturo Perez Alvarez
141,2026-03-02,5000,Gastos operativos,192241.41,0.0,Provision factura INV-00041 Asesores Especializados SA de ,INV-00041,CC-200 Administracion,Valeria Mendez Garcia
142,2026-03-02,2100,Cuentas por pagar,0.0,192241.41,Provision factura INV-00041 Asesores Especializados SA de ,INV-00041,CC-200 Administracion,Valeria Mendez Garcia
143,2026-03-23,2100,Cuentas por pagar,192241.41,0.0,Liquidacion SPEI BNK-00031 factura INV-00041,INV-00041,CC-100 Operaciones,Adriana Lopez Aguilar
144,2026-03-23,1100,Bancos e inversiones,0.0,192241.41,Liquidacion SPEI BNK-00031 factura INV-00041,INV-00041,CC-100 Operaciones,Adriana Lopez Aguilar
145,2025-04-26,5000,Gastos operativos,161744.6,0.0,Provision factura INV-00042 Asesores Globales SC,INV-00042,CC-100 Operaciones,Fernando Gutierrez Ortiz
146,2025-04-26,2100,Cuentas por pagar,0.0,161744.6,Provision factura INV-00042 Asesores Globales SC,INV-00042,CC-100 Operaciones,Fernando Gutierrez Ortiz
147,2025-05-20,2100,Cuentas por pagar,161744.6,0.0,Liquidacion SPEI BNK-00032 factura INV-00042,INV-00042,CC-100 Operaciones,Adriana Lopez Aguilar
148,2025-05-20,1100,Bancos e inversiones,0.0,161744.6,Liquidacion SPEI BNK-00032 factura INV-00042,INV-00042,CC-100 Operaciones,Adriana Lopez Aguilar
149,2026-01-19,5000,Gastos operativos,87947.29,0.0,Provision factura INV-00043 Comercializadora del Centro SA,INV-00043,CC-300 Logistica,Valeria Mendez Garcia
150,2026-01-19,2100,Cuentas por pagar,0.0,87947.29,Provision factura INV-00043 Comercializadora del Centro SA,INV-00043,CC-300 Logistica,Valeria Mendez Garcia
151,2026-02-02,2100,Cuentas por pagar,87947.29,0.0,Liquidacion SPEI BNK-00033 factura INV-00043,INV-00043,CC-100 Operaciones,Arturo Jimenez Gonzalez
152,2026-02-02,1100,Bancos e inversiones,0.0,87947.29,Liquidacion SPEI BNK-00033 factura INV-00043,INV-00043,CC-100 Operaciones,Arturo Jimenez Gonzalez
153,2025-10-15,5000,Gastos operativos,135981.27,0.0,Provision factura INV-00044 Constructora del Bajio S de RL,INV-00044,CC-300 Logistica,Adriana Lopez Aguilar
154,2025-10-15,2100,Cuentas por pagar,0.0,135981.27,Provision factura INV-00044 Constructora del Bajio S de RL,INV-00044,CC-300 Logistica,Adriana Lopez Aguilar
155,2025-11-05,2100,Cuentas por pagar,135981.27,0.0,Liquidacion SPEI BNK-00034 factura INV-00044,INV-00044,CC-100 Operaciones,Arturo Perez Torres
156,2025-11-05,1100,Bancos e inversiones,0.0,135981.27,Liquidacion SPEI BNK-00034 factura INV-00044,INV-00044,CC-100 Operaciones,Arturo Perez Torres
157,2025-03-13,5000,Gastos operativos,95547.83,0.0,Provision factura INV-00045 Constructora Integrales SC,INV-00045,CC-200 Administracion,Adriana Lopez Aguilar
158,2025-03-13,2100,Cuentas por pagar,0.0,95547.83,Provision factura INV-00045 Constructora Integrales SC,INV-00045,CC-200 Administracion,Adriana Lopez Aguilar
159,2025-04-06,2100,Cuentas por pagar,95547.83,0.0,Liquidacion SPEI BNK-00035 factura INV-00045,INV-00045,CC-100 Operaciones,Sofia Hernandez Martinez
160,2025-04-06,1100,Bancos e inversiones,0.0,95547.83,Liquidacion SPEI BNK-00035 factura INV-00045,INV-00045,CC-100 Operaciones,Sofia Hernandez Martinez
161,2025-12-10,5000,Gastos operativos,104227.42,0.0,Provision factura INV-00046 Mantenimiento Especializados S,INV-00046,CC-300 Logistica,Sofia Hernandez Martinez
162,2025-12-10,2100,Cuentas por pagar,0.0,104227.42,Provision factura INV-00046 Mantenimiento Especializados S,INV-00046,CC-300 Logistica,Sofia Hernandez Martinez
